Geography,Year,Sex,Age,Prevalence Rate,Prevalent Cases,Population,Standard Error,Standard Score,Alberta Rate,Disease,State,Population At-Risk
Z1-SouthZone,2004,BOTH,00to39,13.759,20033.73763,145600.7192,0.09028,13.067,12.57969,Asthama,Alberta,0.0
Z1-SouthZone,2004,BOTH,40to44,7.7984,1554.3097109999999,19931.1357,0.18994,-0.083,7.81424,Asthama,Alberta,0.0
Z1-SouthZone,2004,BOTH,45to49,7.5003,1461.1253880000002,19480.943580000003,0.18871,-1.422,7.7687,Asthama,Alberta,0.0
Z1-SouthZone,2004,BOTH,50to54,7.2469,1187.750217,16389.79444,0.20251,-3.2889999999999997,7.9129,Asthama,Alberta,0.0
Z1-SouthZone,2004,BOTH,55to59,7.6836,1030.735289,13414.75647,0.22995,-1.784,8.09383,Asthama,Alberta,0.0
Z1-SouthZone,2004,BOTH,60to64,7.8075,815.3519077999999,10443.23346,0.26253000000000004,-3.734,8.78765,Asthama,Alberta,0.0
Z1-SouthZone,2004,BOTH,65to69,8.6691,761.4461209,8783.494354,0.30023,-2.75,9.49474,Asthama,Alberta,0.0
Z1-SouthZone,2004,BOTH,70to74,9.0478,749.3014383999999,8281.603113,0.31522,-3.9730000000000003,10.30007,Asthama,Alberta,0.0
Z1-SouthZone,2004,BOTH,75to79,9.5879,658.9741948,6873.00485,0.35514,-4.43,11.161,Asthama,Alberta,0.0
Z1-SouthZone,2004,BOTH,80to84,9.7787,521.2507488,5330.482005,0.40683,-4.668,11.67775,Asthama,Alberta,0.0
Z1-SouthZone,2004,BOTH,85+,9.5224,418.3319524,4393.150033,0.44285,-2.5669999999999997,10.65934,Asthama,Alberta,0.0
Z1-SouthZone,2004,FEMALE,00to39,12.677999999999999,8829.160225,69638.87985,0.12609,6.2589999999999995,11.88927,Asthama,Alberta,0.0
Z1-SouthZone,2004,FEMALE,40to44,9.4823,920.9084921,9711.876679,0.29728000000000004,-0.051,9.49752,Asthama,Alberta,0.0
Z1-SouthZone,2004,FEMALE,45to49,9.3225,907.6784835000001,9736.395029000001,0.29466,-1.153,9.66221,Asthama,Alberta,0.0
Z1-SouthZone,2004,FEMALE,50to54,8.7914,712.1844836,8100.9643909999995,0.31461,-3.157,9.78469,Asthama,Alberta,0.0
Z1-SouthZone,2004,FEMALE,55to59,9.6352,656.4383924,6812.885721,0.35749000000000003,-1.072,10.018419999999999,Asthama,Alberta,0.0
Z1-SouthZone,2004,FEMALE,60to64,9.5139,505.3619829,5311.8102850000005,0.40258,-2.843,10.65835,Asthama,Alberta,0.0
Z1-SouthZone,2004,FEMALE,65to69,10.117,459.6784983,4543.77233,0.44735,-1.25,10.67574,Asthama,Alberta,0.0
Z1-SouthZone,2004,FEMALE,70to74,9.9631,431.5004299,4330.997936,0.45511,-2.421,11.0649,Asthama,Alberta,0.0
Z1-SouthZone,2004,FEMALE,75to79,9.8807,378.56846,3831.394194,0.48208999999999996,-2.947,11.30143,Asthama,Alberta,0.0
Z1-SouthZone,2004,FEMALE,80to84,9.4182,301.02741660000004,3196.244729,0.51663,-4.085,11.52875,Asthama,Alberta,0.0
Z1-SouthZone,2004,FEMALE,85+,9.2049,270.94135539999996,2943.45612,0.53286,-2.3209999999999997,10.44178,Asthama,Alberta,0.0
Z1-SouthZone,2004,MALE,00to39,14.75,11204.57741,75961.83931,0.12866,11.853,13.22521,Asthama,Alberta,0.0
Z1-SouthZone,2004,MALE,40to44,6.1981,633.4012192000001,10219.25902,0.23851999999999998,0.042,6.18799,Asthama,Alberta,0.0
Z1-SouthZone,2004,MALE,45to49,5.6796,553.4469045,9744.548554,0.23446999999999998,-1.186,5.95771,Asthama,Alberta,0.0
Z1-SouthZone,2004,MALE,50to54,5.7374,475.5657337,8288.830045,0.25544,-1.436,6.10416,Asthama,Alberta,0.0
Z1-SouthZone,2004,MALE,55to59,5.6696,374.2968962,6601.870745,0.28462,-1.8430000000000002,6.19417,Asthama,Alberta,0.0
Z1-SouthZone,2004,MALE,60to64,6.041,309.98992480000004,5131.423171,0.33259,-2.6430000000000002,6.919989999999999,Asthama,Alberta,0.0
Z1-SouthZone,2004,MALE,65to69,7.1176,301.76762260000004,4239.722025,0.39488,-2.875,8.25297,Asthama,Alberta,0.0
Z1-SouthZone,2004,MALE,70to74,8.0444,317.8010085,3950.6051770000004,0.43272,-3.292,9.46866,Asthama,Alberta,0.0
Z1-SouthZone,2004,MALE,75to79,9.219,280.4057348,3041.610656,0.52455,-3.373,10.98852,Asthama,Alberta,0.0
Z1-SouthZone,2004,MALE,80to84,10.319,220.22333219999996,2134.237275,0.6584800000000001,-2.4090000000000003,11.90467,Asthama,Alberta,0.0
Z1-SouthZone,2004,MALE,85+,10.167,147.39059699999999,1449.693913,0.79374,-1.216,11.132010000000001,Asthama,Alberta,0.0
Z1-SouthZone,2005,BOTH,00to39,14.22,21017.96166,147809.3139,0.09084,14.144,12.93481,Asthama,Alberta,0.0
Z1-SouthZone,2005,BOTH,40to44,8.1501,1606.981409,19717.31567,0.19485,0.109,8.12895,Asthama,Alberta,0.0
Z1-SouthZone,2005,BOTH,45to49,7.7742,1556.876931,20026.14759,0.18922,-1.515,8.060880000000001,Asthama,Alberta,0.0
Z1-SouthZone,2005,BOTH,50to54,7.6294,1314.517926,17229.71174,0.20224,-2.63,8.1612,Asthama,Alberta,0.0
Z1-SouthZone,2005,BOTH,55to59,7.8765,1113.7105800000002,14139.688,0.22653,-2.251,8.3863,Asthama,Alberta,0.0
Z1-SouthZone,2005,BOTH,60to64,8.4054,923.1952831,10983.41194,0.26476,-2.426,9.04774,Asthama,Alberta,0.0
Z1-SouthZone,2005,BOTH,65to69,8.6203,765.409032,8879.161713,0.29785,-3.6639999999999997,9.711689999999999,Asthama,Alberta,0.0
Z1-SouthZone,2005,BOTH,70to74,9.1771,756.1492001,8239.494903,0.31805,-4.228,10.52179,Asthama,Alberta,0.0
Z1-SouthZone,2005,BOTH,75to79,9.5478,675.3245687000001,7073.101501,0.34943,-5.048,11.31156,Asthama,Alberta,0.0
Z1-SouthZone,2005,BOTH,80to84,9.8527,523.6713941,5315.028958,0.40879,-4.704,11.77572,Asthama,Alberta,0.0
Z1-SouthZone,2005,BOTH,85+,9.6833,446.76728430000003,4613.804077000001,0.43538000000000004,-3.116,11.03992,Asthama,Alberta,0.0
Z1-SouthZone,2005,FEMALE,00to39,13.14,9292.994714,70723.16288999999,0.12704000000000001,7.557,12.18,Asthama,Alberta,0.0
Z1-SouthZone,2005,FEMALE,40to44,9.8178,947.3807672,9649.621774,0.30291,0.037000000000000005,9.806569999999999,Asthama,Alberta,0.0
Z1-SouthZone,2005,FEMALE,45to49,9.6389,952.1837403,9878.545411,0.29693,-1.15,9.980319999999999,Asthama,Alberta,0.0
Z1-SouthZone,2005,FEMALE,50to54,9.3659,799.4036467999999,8535.212201999999,0.31537,-2.445,10.137089999999999,Asthama,Alberta,0.0
Z1-SouthZone,2005,FEMALE,55to59,9.835,705.5339287,7173.704345,0.35159,-1.6680000000000001,10.42142,Asthama,Alberta,0.0
Z1-SouthZone,2005,FEMALE,60to64,10.409,583.6115888999999,5606.8898229999995,0.40781999999999996,-1.5530000000000002,11.04233,Asthama,Alberta,0.0
