Longitude,Latitude,Ontario_Geospatial_ID,MOH_ID,Service_Type,Service_Detail,Name_Health_Provider,Address,Unit/Floor,Address_Type,Community/Muncipality,Postal_Code
-79.36935038,43.64982129,137284581,9000000000,AIDS Bureau,"CBAESP, HR Program",2-Spirited People of the 1st Nations,145 Front Street East,Unit 105,Practice Location,Toronto,M5A1E3
-79.38404999,43.66434549,137284582,9000000001,AIDS Bureau,CBAESP,Action Positive VIH-SIDA,543 Yonge Street,4th Floor,Practice Location,Toronto,M4Y1Y5
-79.37720368,43.64999889,137284583,9000000002,AIDS Bureau,CBAESP,African and Caribbean Council on HIV/AIDS in Ontario,20 Victoria Street,4th Floor,Practice Location,Toronto,M5C2N8
-79.36455498,43.65467289,137284584,9000000003,AIDS Bureau,CBAESP,Africans in Partnership Against AIDS,526 Richmond Street East,2nd Floor,Practice Location,Toronto,M5A1R3
-79.37508638,43.66765829,137284585,9000000004,AIDS Bureau,CBAESP,AIDS Bereavement & Resiliency Project of Ontario (c/o Fife House),490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9
-80.46006411,43.4378124,137284586,9000000005,AIDS Bureau,"CBAESP, HR Program","AIDS Committee of Cambridge, Kitchener, Waterloo and Area",1770 King Street East,Unit 5,Practice Location,Kitchener,N2G2P1
-78.86184424,43.89465755,137284587,9000000006,AIDS Bureau,"CBAESP, HR Program",AIDS Committee of Durham Region,115 Simcoe Street South,0,Practice Location,Oshawa,L1H4G7
-79.46642847,46.31296953,137284588,9000000007,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",AIDS Committee of North Bay and Area,269 Main Street West,Suite 201,Practice Location,North Bay,P1B2T8
-75.68099323,45.41463015,137284589,9000000008,AIDS Bureau,CBAESP,AIDS Committee of Ottawa,19 Main Street,0,Practice Location,Ottawa,K1S1A9
-89.21601296,48.43836477,137284590,9000000009,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV Outpatient Clinic, HIV POC Testing",AIDS Committee of Thunder Bay (operating as Elevate Northwestern Ontario),106 Cumberland Street North,Suite 102,Practice Location,Thunder Bay,P7A4M2
-79.38404999,43.66434549,137284591,9000000010,AIDS Bureau,CBAESP,AIDS Committee of Toronto,543 Yonge Street,4th Floor,Practice Location,Toronto,M4Y1Y5
-83.03857541,42.31464327,137284592,9000000011,AIDS Bureau,"CBAESP, HR Program",Pozitive Pathways Community Services,511 Pelissier Street,0,Practice Location,Windsor,N9A4L2
-79.44015262,43.89424503,137284593,9000000012,AIDS Bureau,"CBAESP, HR Program",CAYR Community Connections,10909 Yonge Street,Unit 203,Practice Location,Richmond Hill,L4C3E3
-84.31484105,46.5323816,137284594,9000000013,AIDS Bureau,"AT site, HIV POC Testing",Algoma Public Health,294 Willow Avenue,0,Practice Location,Sault Ste. Marie,P6B0A9
-79.37634968,43.66273639,137284595,9000000014,AIDS Bureau,CBAESP,Alliance for South Asian AIDS Prevention,120 Carlton Street,Suite 315,Practice Location,Toronto,M5A4K3
-87.95893975,49.60261911,137284596,9000000015,AIDS Bureau,CBAESP,Animbiigoo Zaagi'igan Anishinaabek (Lake Nipigon Ojibway),204 Main Street,Postal Office Box 120,Practice Location,Beardmore,P0T1G0
-79.39822699,43.65193998,137284597,9000000016,AIDS Bureau,CBAESP,Asian Community AIDS Services,260 Spadina Avenue,Unit 410,Practice Location,Toronto,M5T2E4
-81.24244331,42.99000888,137284598,9000000017,AIDS Bureau,CBAESP,Association of Iroquois and Allied Indians,387 Princess Avenue,0,Practice Location,London,N6B2A7
-79.38712469,43.66152239,137284599,9000000018,AIDS Bureau,"AT site, HIV POC Testing",Bay Centre for Birth Control,76 Grenville Street,3rd Floor,Practice Location,Toronto,M5S1B2
-79.45747901,43.71392879,137284600,9000000019,AIDS Bureau,"AT site, HIV POC Testing",Birth Control and Sexual Health Centre,960 Lawrence Avenue West,Suite 403,Practice Location,Toronto,M6A3B5
-79.37720368,43.64999889,137284601,9000000020,AIDS Bureau,"CBAESP, HR Program",Black Coalition for AIDS Prevention,20 Victoria Street,4th Floor,Practice Location,Toronto,M5C2N8
-79.51880674,43.7589948,137284602,9000000021,AIDS Bureau,HIV POC Testing,Black Creek Community Health Centre,1 Yorkgate Boulevard,Suite 202,Practice Location,Toronto,M3N2A1
-80.27441232,43.15184426,137284603,9000000022,AIDS Bureau,HIV POC Testing,Brant County Health Unit,194 Terrace Hill Street,0,Practice Location,Brantford,N3R1G7
-75.69702544,45.41629605,137284604,9000000023,AIDS Bureau,CBAESP,Bruce House,251 Bank Street,Suite 402,Practice Location,Ottawa,K2P1X3
-79.40231559,43.64637398,137284605,9000000024,AIDS Bureau,"CBAESP, HCV Team, HIV POC Testing",Canadian AIDS Treatment Information Exchange,555 Richmond Street West,"Suite 505, Postal Office Box 1104",Practice Location,Toronto,M5V3B1
-75.73342345,45.38332675,137284606,9000000025,AIDS Bureau,"AT site, HIV POC Testing",Carlington Community and Health Services,900 Merivale Road,2nd floor,Practice Location,Ottawa,K1Z5Z8
