Vendor,Device,Adddress,City,PostalCode,Contact,Email
Orthotics Specialties,Orthotic Devices,"130 Bell Farm Rd., Unit 3b",Barrie,L4M 6J4,17057262871,jane_rolland@icloud.com
PBO Barrie,Orthotic Devices,"unit 100, 115 Bell Farm Rd",Barrie,L4M 5G1,17057373021,alanr@pbogroup.ca
Biodesign Prosthetics & Orthotics Inc.,Orthotic Devices,5 Varadi Ave,Brantford,N3T 7N6,15197565353,reception@biodesign.ca
Appletree Orthotic  Services Ltd.,Orthotic Devices,"unit 4, 3305 Harvester Rd",Burlington,L7N 3N2,19056311616,samdisumma@gmail.com
Ck Ortho Inc.,Orthotic Devices,825 Park Ave W,Chatham,N7M 0N1,15194369670,ckortho@teksavvy.com
St. Lawrence Orthopaedic Service Ltd.,Orthotic Devices,"unit 32, 812 Pitt St",Cornwall,K6J 5R1,16139331064,stlawrenceorthopaedic@cogeco.net
Applied Biomechanics Custom Orthotic Services Inc.,Orthotic Devices,7 - 214 Speedvale Ave.,Guelph,N1H 1C4,15198364755,info@appliedbiomechanics.com
Guelph Orthotics Inc.,Orthotic Devices,"unit 13, 33 Farley Dr",Guelph,N1L 0B7,15193410303,james.w.christensen@gmail.com
Advanced Orthodynamics Inc.,Orthotic Devices,"235 Locke St S, Side Entrace ",Hamilton,L8P 4B8,19055271225,admin@advancedortho.ca
Biodesign Prosthetics & Orthotics Inc.,Orthotic Devices,20 Railway St,Hamilton,L8R 2R3,18557565353,reception@biodesign.ca; jcornell@biodesign.ca
C & Dc Orthopaedic Services,Orthotic Devices,280 Barton St E,Hamilton,L8L 2X3,19055290395,sales@cdcorthomobility.com
Hamilton Health Sciences Corp,Orthotic Devices,"237 Barton St E, Ron Joyce Children's Health Centre ",Hamilton,L8L 2X2,19055212100,haardeng@HHSC.CA; yamkalichj@hhsc.ca
Algonquin Orthopaedics,Orthotic Devices,228 228 Main St W,Huntsville,P1H 1Y1,17057870797,admin@orthotics.ca
Orthowear Inc.,Orthotic Devices,449 The Queensway S,Keswick,L4P 2C9,19055355511,ortho@orthowear.com
Active Orthopedic Solutions Inc.,Orthotic Devices,"unit 4, 1469 Princess St",Kingston,K7M 3E9,16135302233,office@active-ortho.ca
V2innovations Ltd,Orthotic Devices,"unit 4, 802 John Marks Ave",Kingston,K7K 0J7,16136340900,jana@v2innovations.ca
Orthopedic Bracing Solutions Inc.,Orthotic Devices,1 - 386 Gage Ave.,Kitchener,N2M 5C9,15197484848,amoore@obsinc.ca
Ortho-Tec Limited,Orthotic Devices,109 - 55 Mary St W,Lindsay,K9V 5Z6,17058783648,mike.christian@ortho-tec.ca
Creative Orthotic Solutions,Orthotic Devices,310 Wellington Rd.,London,N6C 4P4,15194326262,creativeorthoticsolutions@gmail.com
Custom Orthotics Of London,Orthotic Devices,240 Richmond St,London,N6B 2H6,15198504721,dawn@customorthoticsoflondon.com
Hamilton Prosthetics & Orthotics Of London Inc.,Orthotic Devices,450 Hamilton Rd,London,N5Z 1R9,15194322041,hamilton.op@gmail.com
Innovative Orthotic Design Lab,Orthotic Devices,"unit 22, 1828 Blue Heron Dr",London,N6H 0B7,15194746196,innovativeorthotic@bellnet.ca
Southwestern Prosthetics And Orthotics Ltd.,Orthotic Devices,"unit 7, 25 Baseline Rd W",London,N6J 1V1,15196639797,truppehealthcare@on.aibn.com
Truppe Healthcare Products Limited,Orthotic Devices,"2472 Main St, PO Box 187 ",London,N6P 1P9,15196522041,truppehealthcare@on.aibn.com
Orthoproactive Consultants Inc.,Orthotic Devices,113 - 7181 Woodbine Ave,Markham,L3R 1A3,19054159888,orthopro@orthoproactive.com
Advanced Orthotic Designs Inc.,Orthotic Devices,4 - 3995 Sladeview Cres.,Mississauga,L5L 5Y1,19056074022,canwalk@aodmobility.com
Boundless Biomechanical Bracing Inc.,Orthotic Devices,"unit 10, 2601 Matheson Blvd E",Mississauga,L4W 5A8,19056020650,mail@cocinc.on.ca; dan@cocinc.on.ca
Custom Orthotic Design Group Ltd.,Orthotic Devices,24 - 4120 Ridgeway Dr,Mississauga,L5L 5S9,19058282969,jamesbury@sympatico.ca
Orthobility Bracing Corporation,Orthotic Devices,"unit 420, 33 City Centre Dr",Mississauga,L5B 2N5,12897241956,obcmiss@hotmail.com
Orthocan Orthopaedics Inc.,Orthotic Devices,"unit 24, 400 Matheson Blvd E",Mississauga,L4Z 1N8,19057550808,info@orthocan.com
Orthotic Dimensions Inc.,Orthotic Devices,101 - 5780 Timberlea Blvd.,Mississauga,L4W 4W8,19056299014,mary@orthoticdimensions.com
OrthoProActive Consultants Inc.,Orthotic Devices,873 Gorham St,Newmarket,L3Y 1L7,19058366788,orthopropaul@rogers.com
Nipissing Orthopaedic Laboratory Inc.,Orthotic Devices,269 Airport Rd,North Bay,P1B 8W7,17054953771,manon@niportho.com
Back2feet Inc.,Orthotic Devices,"unit 700, 716 Gordon Baker Rd",North York,M2H 3B4,14163353701,yimlok@rogers.com
